"ITEM","Título","Verso Bíblico / Pasaje","Contexto Histórico","Contenido Bíblico","Enfoque de Composición","Estilo Musical (Suno Tags)","Temática Central","Instrumentación Clave","BPM","Columna 1","Columna 2","","","","","","","","","","","","","",""
"66","Casa de Paz","Salmo 23:4-6","David describe la seguridad del huésped bajo la protección del anfitrión oriental.","""En la casa de Jehová moraré por largos días"". El destino eterno del creyente tras superar el valle de sombra.","Bloque 3: El Pastor. Cierre del bloque. El título enfoca la meta final: la permanencia en la presencia de Dios. Musicalmente es un himno de victoria con Deep Reese Bass y atmósfera épica.","Cinematic Pop, Deep Reese Bass, Bass Boosted, Slow Motion Beat, Emotional Male Vocals, Epic Atmosphere, Warm, Anthemic","Eternidad / Hogar / Seguridad","Deep Reese Bass & Synths","70","","","","","","","","","","","","","","","",""
"67","Desde la Eternidad","Salmo 90:1-6","Oración de Moisés. Contrasta la eternidad de Dios con la brevedad de la vida humana.","""Señor, tú nos has sido refugio... Antes que los montes fuesen engendrados... desde el siglo y hasta el siglo, tú eres Dios"".","Bloque 4: La Eternidad. La música debe sonar inmensa y antigua, ""prehistórica"". Usamos Vast Atmosphere y Deep Sub-Bass para transmitir la escala de un Dios que existe fuera del tiempo. La letra es de asombro y pequeñez humana.","Cinematic Ethereal, Vast Atmosphere, Deep Sub-Bass, Bass Boosted, Orchestral Pads, Slow Motion, Majestic, Ancient, Warm Male Vocals, Slow","Eternidad de Dios / Fragilidad Humana / Refugio Ancestral","Deep Sub-Bass & Orchestral Pads","65","","","","","","","","","","","","","","","",""
"68","Senda Eterna","Resumen Global (Salmos 1, 23, 90, 119)","Conclusión del álbum.","Integra la estabilidad (S.1), la guía (S.119), el cuidado (S.23) y la eternidad (S.90).","Gran Final. Narrativa progresiva: Origen -> Guía -> Viaje -> Destino. Musicalmente es un himno épico que crece hasta un final majestuoso. Usa referencias directas a las canciones anteriores (""Miel"", ""Aguas"", ""Montes"", ""Inquebrantable"").","Epic Worship Anthem, Cinematic Pop, Deep Reese Bass, Orchestral Strings, Building Atmosphere, Emotional Male Vocals, Grand Finale, Majestic","Compromiso Total / Resumen del Viaje","Full Orchestra & Deep Reese Bass","69","","","","","","","","","","","","","","","",""
"69","La Belleza de Tu Gloria (instrumental)","Salmo 27:4","""Una cosa he demandado... contemplar la hermosura de Jehová"". El deseo de estar ante Su presencia sin prisa.","Transmitir el ""Kabod"" (el peso) de la gloria de Dios. No es tristeza, es majestad y amor abrumador.","Estilo Zimmer/Balfe. Atmósfera densa y cálida (""Warm""). Evitamos melodías rápidas; usamos acordes largos y sostenidos. El bajo debe sentirse físico (vibración en el pecho) para representar la solemnidad del lugar santísimo.","Ambient Cinematic Worship, Warm Analog Synths, Deep Reese Bass, Bass Boosted, Hans Zimmer Style, Ethereal, Solemn, Heavenly, Slow Motion, Majestic","Contemplación / Santidad / Majestad","Analog Synths & Deep Reese Bass","60","","","","","","","","","","","","","","","",""
"70","Cielo Claro","Salmo 32:1-2","David celebra la dicha de la redención.","La bienaventuranza del perdón y la transparencia de espíritu.","Poético / Atmosférico. Imágenes de luz y renacer.","Acoustic Pop, Soft Rock, Major Key, Uplifting, Warm Acoustic Guitar, Groovy Bass, Light Percussion, Flowing, 70 BPM, Male Vocals, Bright","La alegría serena de una conciencia limpia.","Guitarra Acústica, Bajo suave, Teclado","70","","","","","","","","","","","","","","","",""
"71","Mi Invierno Acabó","Salmo 32:3-5","David describe el desgaste del silencio y la sanidad de confesar.","El contraste entre la sequía espiritual y el alivio del perdón.","Estilo Jesús Adrián Romero (Poético/Íntimo).","Latin Pop, Acoustic Worship, Soft Groove, Melodic Bass, Warm Male Vocals, Intimate, Smooth Jazz Influence, 68 BPM, Sentimental","La intimidad de reconciliarse con el Padre.","Guitarra Acústica, Bajo Melódico, Batería Suave","68","","","","","","","","","","","","","","","",""
"72","Lugar Seguro","Salmo 32:7-8","Conclusión del salmo. David afirma su seguridad en Dios y recibe la promesa de guía divina.","Dios como refugio (escondedero) y guía personal (""fijaré mis ojos"").","Poético / Confianza. Metáforas de protección ante la marea.","Contemporary Worship, Soft Rock, Deep Melodic Bass, Warm Pads, Steady Groove, Reassuring, Mid-Tempo, 70 BPM, Male Vocals, Smooth","La seguridad de estar protegido y guiado.","Bajo Melódico, Pads, Guitarra Ambient","70","","","","","","","","","","","","","","","",""
"73","Inmensa Bondad","Salmo 51:1-4","David apela a la multitud de las piedades de Dios.","La petición de misericordia basada en el carácter de Dios.","Estilo JAR / Estructura Pop. Enfoque en la magnitud del amor divino.","Latin Pop, Acoustic Pop, Soft Rock, Warm Melodic Bass, Groovy, Uplifting, Sentimental, 72 BPM, Male Vocals, Clean","La confianza en que la bondad de Dios supera el error.","Guitarra Acústica, Bajo Melódico, Batería Pop","72","","","","","","","","","","","","","","","",""
"74","Corazón Nuevo","Salmo 51:10-12","David pide una transformación interna total, no solo perdón.","La creación (""bara"") de un corazón limpio y la restauración del gozo.","Estilo JAR / Optimista. Enfoque en la renovación y el gozo de la salvación.","Latin Pop, Acoustic Worship, Uplifting, Melodic Bass, Groovy, Warm, Hopeful, 75 BPM, Male Vocals, Clean","La petición de una renovación espiritual completa.","Guitarra Acústica, Bajo Melódico, Batería Ligera","75","","","","","","","","","","","","","","","",""
"75","Abre Mis Labios","Salmo 51:14-17","David promete alabar públicamente a Dios si es liberado de la culpa.","La verdadera adoración no es el sacrificio ritual, sino el espíritu quebrantado y la alabanza verbal.","Estilo JAR / Himno. Contraste entre religión externa y adoración interna.","Latin Pop, Acoustic Worship, Uplifting, Driving Bass, Groovy, Anthemic, Passionate, 78 BPM, Male Vocals, Warm","La respuesta natural al perdón es la adoración pública.","Bajo Slap/Groove, Guitarra Rítmica, Batería Pop","78","","","","","","","","","","","","","","","",""
"76","Tengo Sed","Salmo 63:1-4","David en el desierto de Judá, anhelando a Dios más que al agua.","La sed espiritual profunda (""mi carne te anhela"") y la valoración del amor de Dios sobre la vida misma.","Estilo JAR / Balada Íntima. Enfoque en la necesidad vital de la presencia divina.","Latin Pop, Acoustic Worship, Uplifting, Driving Bass, Groovy, Anthemic, Passionate, 78 BPM, Male Vocals, Warm","El anhelo desesperado por la intimidad con Dios.","Bajo Sostenido (Heartbeat), Guitarra Arpegio, Pads","78","","","","","","","","","","","","","","","",""
"77","Tu Diestra","Salmo 63:5-8","David expresa satisfacción y seguridad en la protección divina.","""Mi alma está pegada a ti"", ""Tu diestra me ha sostenido"".","Estilo JAR / Confort. Sensación de seguridad y protección paternal.","Latin Pop, Soft Rock, Warm Melodic Bass, Comforting, Safe, Mid-tempo, Groovy, Reassuring, 72 BPM, Male Vocals, Clean","La seguridad de estar sostenido por la mano de Dios.","Bajo ""Redondo"", Guitarra Rítmica, Pads","72","","","","","","","","","","","","","","","",""
"78","Labios de Júbilo","Salmo 63:5","David afirma que, aun en el desierto, su alma está tan satisfecha como en un banquete real.","La satisfacción plena en Dios (""meollo y grosura"") y la respuesta de alabanza alegre.","Estilo JAR / Tropipop. Celebración de la plenitud espiritual.","Latin Folk Pop, Acoustic Upbeat, Happy, Walking Bass, Joyful, Bright, Energetic, 100 BPM, Male Vocals, Playful","La alegría de encontrar satisfacción total en Dios.","Guitarra Rítmica, Walking Bass, Percusión","100","","","","","","","","","","","","","","","",""
"79","El Salmo de mi Vida","Resumen Salmos 23, 51, 63","Conclusión del viaje espiritual, uniendo las etapas de David (Pastor, Rey arrepentido, Exiliado).","Integración de la provisión (23), el perdón (51) y la satisfacción (63) en una sola alabanza.","Estilo JAR / Anthem. Narrativa que une los tres bloques temáticos con fuerza.","Latin Pop Anthem, Driving Acoustic Groove, Uplifting, Melodic, Hopeful, Full Band, Catchy, 80 BPM, Male Vocals, Passionate","La fidelidad de Dios a través de toda la historia de vida.","Full Band, Guitarra Acústica, Batería Sólida","80","","","","","","","","","","","","","","","",""
"80","Aquí Sigo (Hasta Cuándo)","Salmo 13:1-2","David pregunta cuánto durará el silencio de Dios, pero sin abandonar su puesto.","La tensión de la espera (""¿Hasta cuándo?"") transformada en perseverancia.","Estilo JAR / Resiliencia. Convertir la pregunta en una afirmación de espera activa.","Latin Acoustic Pop, Mid-Tempo, Bright Acoustic Guitar, Warm, Uplifting, Hopeful, Melodic, 72 BPM, Male Vocals, Light Percussion","La decisión de esperar a Dios con buena actitud, sin caer en la depresión.","Guitarra Acústica Brillante, Percusión Pop","72","Camino de luz","","","","","","","","","","","","","","",""
"81","Alumbra mis Ojos","Salmo 13:3-4","David pide respuesta divina para evitar el sueño espiritual (muerte) y la derrota.","La petición de iluminación (""alumbra mis ojos"") y vitalidad espiritual.","Estilo JAR / Esperanza. Enfocado en el despertar y la claridad, evitando el tono lúgubre de la ""muerte"".","Latin Acoustic Pop, Bright, Uplifting, Morning Vibe, Warm Acoustic Guitar, Hopeful, Melodic, 74 BPM, Male Vocals, Light Percussion, Optimistic","La necesidad de la luz de Dios para mantener la fe despierta y viva.","Guitarra Acústica Brillante, Teclados Suaves","74","Camino de luz","","","","","","","","","","","","","","",""
"82","Tu Bondad","Salmo 13:5-6","Conclusión del salmo. David cambia la angustia por alabanza al recordar el carácter de Dios.","La decisión voluntaria de confiar y la celebración de la bondad divina (""me ha hecho bien"").","Estilo JAR / Celebración. Ritmo más vivo para marcar el cambio de lamento a baile.","Latin Pop, Acoustic Upbeat, Groovy Bass, Joyful, Celebration, Warm, Catchy, 76 BPM, Male Vocals, Light Percussion, Optimistic","La alegría de confiar en la misericordia de Dios pase lo que pase.","Guitarra Rítmica, Bajo Groove, Percusión","76","Camino de luz","","","","","","","","","","","","","","",""
"83","En Ti Confío","Salmo 22:1-2","David clama ante el silencio de Dios.","La tensión del silencio transformada en una declaración de seguridad activa.","Estilo JAR / Directo y Rítmico. Frases cortas y activas. Título cambiado para reflejar la acción central.","Latin Pop, Upbeat Acoustic, Mega Bass, Sub Bass, Deep Groove, Driving Rhythm, Bright, Optimistic, Catchy, 78 BPM, Male Vocals","La decisión activa de creer sin depender de señales visibles.","Bajo Profundo (Sub Bass), Guitarra Rítmica","78","Camino de luz","","","","","","","","","","","","","","",""
"84","NO FUE MI FUERZA","salmo 44 ","Análisis real del pasaje salmo 44 alegre enfocado en la aplicación espiritual para la vida cristiana moderna.","Mensaje central centrado en la soberanía divina y el fundamento teológico de la fe en Jesús.","Producción profesional de estilo Joyful para Suno AI","Latin Pop, Upbeat Acoustic, Mega Bass, Deep Groove","Joyful","Upbeat Acoustic, Mega Bass, Deep Groove","110","Camino de luz","","","","","","","","","","","","","","",""
"85","Mi Roca Firme","Salmo 18:1-3","Victoria de David sobre sus enemigos","Declaración de Dios como fortaleza y roca","Conversacional y Cercano (Vibra JAR)","Acoustic Worship, Latin Pop, Soft Rock, Warm, Sentimental","Seguridad y Paz en Dios","Guitarra Acústica, Piano, Bajo Melódico","74","Camino de luz","","","","","","","","","","","","","","",""
"86","El Cielo se Abrió","Salmo 18:4-6","Victoria de David sobre sus enemigos","Respuesta de Dios al clamor del afligido","Celebración y Aliento (Vibra JAR Upbeat)","Latin Pop, Acoustic Guitar, Upbeat, Bright, Uplifting","Victoria y Gratitud","Guitarra Acústica, Batería, Bajo Driving","115","Camino de luz","","","","","","","","","","","","","","",""
"87","Tú Bajaste","Salmo 18:7-15","Victoria de David sobre sus enemigos","Teofanía: La respuesta poderosa de Dios","Majestuoso y Rítmico (Vibra JAR Épico)","Cinematic Pop, Modern Worship, Driving, Pulsating","El Poder de Dios a nuestro favor","Sintetizadores, Cuerdas Modernas, Bajo Profundo","122","Camino de luz","","","","","","","","","","","","","","",""
"88","Lugar Espacioso","Salmo 18:16-19","Victoria de David sobre sus enemigos","Rescate divino por deleite en el hijo","Gracia y Libertad (Vibra JAR Pop)","Pop Worship, Clean Guitar, Deep Bass, Bright, Uplifting","El Deleite de Dios y el Rescate","Guitarra Eléctrica Limpia, Bajo Melódico, Pads","118","Camino de luz","","","","","","","","","","","","","","",""
"89","El Camino de la Luz","Salmo 18:20-24","Victoria de David sobre sus enemigos","La recompensa de la integridad","Humildad y Transparencia (Vibra JAR)","Acoustic Pop, Soft Rock, Rhythmic, Uplifting","Integridad y Obediencia","Guitarra Acústica, Bajo Melódico, Shaker","110","Camino de luz","","","","","","","","","","","","","","",""
"90","Pies en las Alturas","Salmo 18:32-42","Victoria de David sobre sus enemigos","Dios como capacitador y fuerza del guerrero","Capacitación y Gracia (Vibra JAR)","Modern Worship, Acoustic Pop, Driving, Inspiring","Fortaleza y Agilidad Divina","Bajo Melódico, Guitarra Acústica, Sintetizadores","118","Camino de luz","","","","","","","","","","","","","","",""
"91","Viva el Señor","Salmo 18:46-50","Victoria de David sobre sus enemigos","Exaltación final y gratitud eterna","Celebración y Doxología (Vibra JAR Upbeat)","Latin Pop, Acoustic Guitar, Bright, Joyful","Gratitud y Exaltación","Guitarra Acústica, Shaker, Piano Brillante","125","Camino de luz","","","","","","","","","","","","","","",""
"92","Pelea por Mí","Salmo 35:1-3","David pidiendo defensa ante sus enemigos","Dios como defensor y salvación","Confianza Alegre (Vibra JAR Upbeat)","Latin Pop, Acoustic Guitar, Bright, Joyful, Uplifting","Seguridad en la Defensa Divina","Guitarra Acústica, Piano, Shaker, Bajo Driving","122","VUELO DE VICTORIA","","","","","","","","","","","","","","",""
"93","Viento y Sombras","Salmo 35:4-8","David pidiendo que sus enemigos retrocedan","La protección divina como viento que dispersa el mal","Libertad y Movimiento (Vibra JAR Pop)","Latin Pop, Funk-Infused, Rhythmic, Uplifting","La Luz que Despeja el Camino","Bajo con Groove, Guitarra Limpia, Sintetizadores","115","VUELO DE VICTORIA","","","","","","","","","","","","","","",""
"94","¿Quién como Tú?","Salmo 35:9-10","David celebrando el rescate de Dios","La unicidad de Dios y Su compasión","Adoración Alegre (Vibra JAR Pop)","Modern Worship, Bright, Driving, Joyful","La Exclusividad y Bondad de Dios","Guitarra Acústica, Piano Brillante, Batería Enérgica","120","VUELO DE VICTORIA","","","","","","","","","","","","","","",""
"95","Camino Derecho","Salmo 35:11-16","","Integridad y respuesta en oración","Resiliencia y Paz Alegre (Vibra JAR)","Latin Pop-Rock, Energetic, Driving, Joyful","Determinación e Integridad","Guitarra Eléctrica, Bajo Funky, Batería","126","VUELO DE VICTORIA","","","","","","","","","","","","","","",""
"96","Tu Amor No Callará","Salmo 35:17-23","Clamor de David por justicia","La fidelidad activa de Dios","Victoria Anticipada (Vibra JAR Rock)","Latin Pop-Rock, Energetic, Bright, Driving","La Voz Activa de Dios","Sintetizadores, Guitarra Eléctrica, Batería","128","VUELO DE VICTORIA","","","","","","","","","","","","","","",""
"97","Grande es el Señor","Salmo 35:24-28","Exaltación final de David","Gratitud por la paz y la justicia","Celebración y Proclamación","Latin Pop, Celebration, Bright, Joyful","El Gozo como Regalo Divino","Guitarras, Percusión, Synth Brass, Claps","130","VUELO DE VICTORIA","","","","","","","","","","","","","","",""
"98","Eco de Victoria","Salmo 35 (Completo)","David celebrando el triunfo final","Recuento de la protección divina","Himno de Cierre (Vibra JAR Pop)","Latin Pop Anthem, Modern, Bright, Joyful","El Triunfo de la Fe","Guitarras, Percusión, Synth Brass, Claps","128","VUELO DE VICTORIA","","","","","","","","","","","","","","",""
"99","¡Levántate!","Salmo 68:1-4","Invocación de David (Marcha)","Dispersión de enemigos y gozo","Fuerza y Autoridad (Vibra Rock)","Modern Latin Rock-Pop, Energetic, Bright","La Presencia que Disipa","Guitarra Eléctrica, Sintetizadores, Batería","126","CUMBRE DE MAJESTAD","","","","","","","","","","","","","","",""
"100","Hogar en Tu Presencia","Salmo 68:5-10","Provisión de Dios en el camino","Dios como Padre y Refugio","Calidez y Gratitud (Vibra JAR Pop)","Warm Latin Pop, Mid-Tempo, Emotional","La Paternidad de Dios","Guitarra Acústica, Pads, Bajo Melódico","95","CUMBRE DE MAJESTAD","","","","","","","","","","","","","","",""
"101","Buenas Nuevas","Salmo 68:11-14","El anuncio de la victoria","Proclamación masiva del bien","Alegre y Orgánico (Vibra Folk-Pop)","Upbeat Acoustic Pop, Bright, Joyful","El Mensaje de Victoria","Guitarra Acústica, Palmas, Shakers","110","CUMBRE DE MAJESTAD","","","","","","","","","","","","","","",""
"102","El Monte Sagrado","Salmo 68:15-19","Ascensión de Dios al santuario","Majestad y dones de Dios","Himno Majestuoso y Limpio","Anthemic Worship Pop, Majestic, Uplifting","La Grandeza de Su Presencia","Piano, Pads, Batería Constante","124","CUMBRE DE MAJESTAD","","","","","","","","","","","","","","",""
"103","Puerta de Escape","Salmo 68:20-27","Procesión al santuario","Dios que libra de la muerte","Rítmico y Festivo (Vibra JAR Pop)","Latin Pop, Rhythmic, Energetic","La Victoria y el Desfile Divino","Bajo, Congas, Panderos, Guitarra","122","CUMBRE DE MAJESTAD","","","","","","","","","","","","","","",""
"104","Reinos de la Tierra","Salmo 68:28-35","Exaltación de las naciones","Soberanía y poder universal","Celebración Épica y Final","Anthemic Latin Pop, Celebration, Joyful, Multi-layered Vocals","El Dominio Eterno de Dios","Synth Brass, Batería Enérgica, Guitarra Eléctrica, Claps","128","CUMBRE DE MAJESTAD","","","","","","","","","","","","","","",""
"105","Cumbre de Majestad","Salmo 68:1-35","Resumen del Salmo","Narrativo y Épico","","Anthemic Latin Pop, Progressive","Piano, Brass, Batería, Bajo","","112","CUMBRE DE MAJESTAD","","","","","","","","","","","","","","",""
"106","Mis Manos para la Guerra","Salmo 144:1-2","Fortaleza y Entrenamiento","Seguridad y Confianza","","Modern Latin Pop","Guitarras Delay, Pads, Bajo","","112","ROCA Y ESCUDO","","","","","","","","","","","","","","",""
"107","¿Qué es el Hombre?","Salmo 144:3-4","Humildad y Gracia","Reflexivo e Íntimo","","Modern Latin Pop, Atmospheric","Guitarra Clean, Pads, Bajo","","112","ROCA Y ESCUDO","","","","","","","","","","","","","","",""
"108","Toca los Montes","Salmo 144:5-8","Manifestación Divina","Ruego y Reverencia","","Modern Latin Pop, Cinematic","Pads, Guitarra, Bajo","","112","ROCA Y ESCUDO","","","","","","","","","","","","","","",""
"109","Cántico Nuevo","Salmo 144:9-11","Alabanza y Liberación","Alegría y Gratitud","","Modern Latin Pop, Uplifting","Guitarras, Sintetizadores, Bajo","","112","ROCA Y ESCUDO","","","","","","","","","","","","","","",""
"110","Dichoso el Pueblo","Salmo 144:12-15","Post-victoria y estabilidad","Prosperidad y Familia","Esperanza y Bendición","Modern Latin Pop, Majestic","Bienestar y plenitud","Guitarra Acústica, Pads, Bajo","112","HERENCIA DE PAZ","","","","","","","","","","","","","","",""
"111","Roca y Escudo (Medley)","Salmo 144:1-15","Síntesis del Salmo","Resumen de Victoria","Épico y Conclusivo","Modern Latin Pop, Anthemic","Soberanía de Dios","Guitarras Delay, Pads, Drum Kit","112","HERENCIA DE PAZ","","","","","","","","","","","","","","",""
"112","Herencia Mía","Salmo 2:7-9","El Decreto del Padre","Identidad y Herencia","Pop Elegante y Rítmico","Modern Latin Pop, Soft Rock, 112 BPM","Autoridad del Hijo","Bajo Eléctrico, Acústica","112","HERENCIA DE PAZ","","","","","","","","","","","","","","",""
"113","Refugio Santo","Salmo 2:10-12","Exhortación y Victoria","Sabiduría y Refugio","Celebración y Triunfo","Uptempo Latin Pop, 128 BPM","Victoria en Dios","Guitarras, Batería, Piano","128","HERENCIA DE PAZ","","","","","","","","","","","","","","",""
"114","Desde Siempre","Salmo 22:9-10","Confianza Infantil","Cuidado Maternal de Dios","Inspirador y Alegre","Acoustic Pop, Soft Rock, 95 BPM","Fidelidad desde el origen","Guitarra Acústica, Piano","95","HERENCIA DE PAZ","","","","","","","","","","","","","","",""
"115","Cerca Estás","Salmo 22:19-21","Petición de Socorro","Seguridad y Cercanía","Inspirador y Firme","Soft Rock, Bright, 112 BPM","Confianza en la ayuda","Guitarra Eléctrica, Piano","112","HERENCIA DE PAZ","","","","","","","","","","","","","","",""
"116","Gran Reunión","Salmo 22:22-26","Alabanza en la Asamblea","Invitación a la Fiesta","Alegre y Comunitario","Latin Pop, 120 BPM","Celebración Colectiva","Acústica, Claps, Piano","120","HERENCIA DE PAZ","","","","","","","","","","","","","","",""
"117","Reino Eterno","Salmo 22:27-31","Adoración Universal","Victoria y Legado","Épico e Inspirador","Uptempo Pop, Celebration, 128 BPM","Victoria Final","Guitarras Eléctricas, Sintetizadores","128","HERENCIA DE PAZ","","","","","","","","","","","","","","",""
"118","Canto y Música","Salmo 22:24-26","Restauración del Afligido","Sanidad y Libertad","Íntimo, Conversacional","Modern Worship, Elevation style, Stadium Drums","Confianza y Reposo","Piano, Mega Bass Dominante, Pads, Batería Estadio","85","","","","","","","","","","","","","","","",""
"119","Entre Nosotros","Salmo 22:22-23","Testimonio en la Asamblea","Contar Su Gloria","Alegre, Rítmico, Orgánico","Modern Christian Pop, Elevation style, Stadium Drums","Comunión y Gratitud","Piano, Mega Bass Dominante, Pads, Batería Estadio","112","","","","","","","","","","","","","","","",""
"120","Desde el Principio","Salmo 22:9-10","Gratitud por la Vida","Cuidado desde el Vientre","Íntimo, Reflexivo","Modern Christian Pop, Elevation style, Stadium Drums","Fidelidad de Dios","Piano, Mega Bass Dominante, Pads, Batería Estadio","95","","","","","","","","","","","","","","","",""
"121","Fuerza Mía","Salmo 22:19-21","Clamor por Socorro","Liberación del Peligro","Enérgico, Proclamación","Anthemic Pop, Miel San Marcos style","Dios es mi Ayuda","Piano, Mega Bass Dominante, Pads, Batería Estadio","125","","","","","","","","","","","","","","","",""
